captured_at,capture_season,capture_week,source,year,team,conference,elo
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Eastern Michigan,Mid-American,1350
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Florida State,ACC,1559
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Hawai'i,Mountain West,1454
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Jacksonville State,Conference USA,1432
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Memphis,American Athletic,1541
2026-09-01T12:03:27+00:00,2026,2,elo,2026,NC State,ACC,1509
2026-09-01T12:03:27+00:00,2026,2,elo,2026,New Mexico State,Conference USA,1259
2026-09-01T12:03:27+00:00,2026,2,elo,2026,North Carolina,ACC,1395
2026-09-01T12:03:27+00:00,2026,2,elo,2026,North Dakota State,Mountain West,1562
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Sacramento State,Mid-American,1476
2026-09-01T12:03:27+00:00,2026,2,elo,2026,San José State,Mountain West,1395
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Stanford,ACC,1408
2026-09-01T12:03:27+00:00,2026,2,elo,2026,TCU,Big 12,1598
2026-09-01T12:03:27+00:00,2026,2,elo,2026,UNLV,Mountain West,1566
2026-09-01T12:03:27+00:00,2026,2,elo,2026,USC,Big Ten,1763
2026-09-01T12:03:27+00:00,2026,2,elo,2026,Virginia,ACC,1652
